DrawDate   ,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine  ,Raffles                                                                                                                                                                                                                                                                           ,DrawNumber
05-Jan-2019,28    ,32    ,18    ,25    ,47    ,27    ,6         ,4       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2404
02-Jan-2019,8     ,40    ,53    ,35    ,10    ,9     ,21        ,1       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2403
29-Dec-2018,40    ,57    ,45    ,26    ,31    ,38    ,28        ,3       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2402
26-Dec-2018,7     ,14    ,58    ,45    ,54    ,35    ,1         ,2       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2401
22-Dec-2018,32    ,24    ,15    ,4     ,17    ,56    ,31        ,4       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2400
19-Dec-2018,12    ,33    ,56    ,34    ,24    ,39    ,38        ,1       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2399
15-Dec-2018,43    ,34    ,5     ,35    ,26    ,49    ,19        ,4       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2398
12-Dec-2018,51    ,46    ,59    ,31    ,3     ,22    ,53        ,3       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2397
08-Dec-2018,36    ,6     ,48    ,38    ,23    ,43    ,17        ,2       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2396
05-Dec-2018,1     ,13    ,45    ,56    ,6     ,23    ,41        ,2       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2395
01-Dec-2018,49    ,5     ,8     ,9     ,12    ,31    ,57        ,1       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2394
28-Nov-2018,39    ,52    ,45    ,46    ,48    ,36    ,38        ,3       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2393
24-Nov-2018,32    ,43    ,30    ,42    ,27    ,15    ,10        ,4       ,Lancelot ,                                                                                                                                                                                                                                                                                  ,2392
21-Nov-2018,46    ,53    ,24    ,35    ,31    ,42    ,9         ,1       ,Guinevere,                                                                                                                                                                                                                                                                                  ,2391
17-Nov-2018,12    ,4     ,5     ,9     ,42    ,17    ,32        ,3       ,Lancelot ,"ROSE02238052;GOLD44749656,GOLD75828638,GREY18265743,GREY39787092,GREY79932537,JADE12114966,JADE12918003,JADE44338381,LIME24796994,NAVY10751005,NAVY13069766,NAVY28619144,PLUM22646497,PLUM56320396,PLUM89218418,PLUM91929511,PLUM98322339,RUBY07251089,TEAL14623197,TEAL33399228",2390
14-Nov-2018,4     ,11    ,20    ,48    ,53    ,45    ,16        ,4       ,Lancelot ,"TEAL55525986;AQUA13939664,AQUA25109302,AQUA71785867,AQUA86240243,AQUA98040108,GREY07632918,JADE32387617,JADE36751103,LIME37414740,NAVY48633188,PINK49211329,PINK73699345,PLUM48262455,ROSE41010804,ROSE88153354,RUBY21440855,RUBY45185967,RUBY49804275,RUBY51665680,RUBY64103142",2389
10-Nov-2018,7     ,38    ,17    ,12    ,44    ,42    ,53        ,2       ,Lancelot ,"BLUE39143820;AQUA00347596,AQUA58334843,BLUE79707970,GOLD62201502,GREY37229176,GREY42899678,GREY65912153,NAVY01194864,NAVY11585750,PINK30223274,PINK53633174,PINK72225022,PINK82274477,PINK87818454,PLUM30838698,ROSE43749430,RUBY02539938,RUBY29298681,RUBY39767131,RUBY74769608",2388
07-Nov-2018,46    ,4     ,59    ,9     ,5     ,40    ,58        ,1       ,Guinevere,"AQUA65496667;AQUA20612489,AQUA55169275,AQUA68222982,BLUE20363702,GOLD19872913,GREY55517872,JADE69941159,LIME36165835,LIME61582967,LIME81152927,NAVY35256619,NAVY43984214,NAVY56679477,PINK63298163,PINK84056210,PLUM13793397,ROSE65881807,RUBY34024603,TEAL53675753,TEAL96827862",2387
03-Nov-2018,45    ,16    ,52    ,47    ,41    ,31    ,53        ,2       ,Guinevere,"GOLD09742725;AQUA24168260,BLUE51780179,BLUE53289220,BLUE63130077,GOLD60326654,GOLD66288624,JADE11969524,JADE24430576,NAVY28686006,PINK11050590,PINK47910154,PLUM00749147,PLUM56320334,PLUM62702504,PLUM64461119,ROSE84166328,TEAL09752386,TEAL74974107,TEAL93960982,TEAL98216691",2386
31-Oct-2018,28    ,24    ,20    ,45    ,5     ,14    ,21        ,3       ,Lancelot ,"JADE81017686;BLUE89190232,GOLD40628941,GOLD62200501,GOLD64048558,GOLD97735096,JADE63771698,LIME06125810,LIME08056906,LIME36949952,LIME97602843,NAVY36716710,PINK01503536,PINK50131621,PLUM49784538,PLUM86055778,ROSE06647362,ROSE90558103,RUBY44627126,TEAL07796073,TEAL61224259",2385
27-Oct-2018,26    ,39    ,31    ,6     ,1     ,25    ,56        ,1       ,Guinevere,"BLUE78276257;BLUE26275667,BLUE35831011,BLUE71608097,BLUE72107006,BLUE92495683,GOLD04466811,GOLD83034804,GREY60492169,GREY65644385,JADE08897758,JADE80090749,LIME70077841,LIME80420158,PINK79378825,PLUM20937414,PLUM91645110,ROSE11990187,ROSE48699951,RUBY84857720,TEAL84068726",2384
24-Oct-2018,9     ,40    ,22    ,32    ,59    ,51    ,17        ,2       ,Lancelot ,"JADE33481653;AQUA19841730,AQUA45451159,AQUA56745871,AQUA63121351,AQUA86894596,BLUE26819388,JADE36036138,JADE68661978,JADE97480506,LIME23926004,NAVY46268426,PINK80244498,PLUM03801219,PLUM19667789,PLUM49835080,PLUM82952283,ROSE34546829,ROSE76035393,RUBY56108990,RUBY82980021",2383
20-Oct-2018,46    ,12    ,59    ,40    ,18    ,42    ,49        ,4       ,Lancelot ,"ROSE60812502;AQUA84025986,AQUA93211784,BLUE09697933,BLUE51505081,BLUE60127288,BLUE66062989,GOLD48165844,GOLD75125641,GREY16408948,GREY27451549,GREY79415141,LIME42437657,NAVY81189956,PINK99375392,PLUM23617253,PLUM72246450,PLUM84849594,ROSE41992445,ROSE71843008,RUBY17300388",2382
17-Oct-2018,5     ,20    ,51    ,1     ,6     ,54    ,56        ,3       ,Guinevere,"TEAL36209928;AQUA09770081,AQUA80863755,BLUE01416359,BLUE49153072,GOLD07761457,GOLD59911006,GREY23652554,GREY97767427,JADE00015693,JADE18947839,JADE70059930,NAVY11062268,NAVY32347773,NAVY36098159,NAVY98314694,PINK90446247,ROSE43168372,ROSE48105232,TEAL47058047,TEAL91618764",2381
13-Oct-2018,58    ,52    ,40    ,19    ,26    ,56    ,38        ,1       ,Guinevere,"RUBY24020519;AQUA28283048,AQUA59019725,AQUA82519915,GOLD66391555,GOLD89358680,GREY00163726,GREY15386211,GREY40018239,GREY47164449,GREY50333534,LIME87147389,NAVY32626289,PINK02225989,PINK47733944,PINK82792298,RUBY55037318,TEAL10870497,TEAL21777884,TEAL33653583,TEAL48211421",2380
10-Oct-2018,54    ,10    ,56    ,50    ,49    ,53    ,4         ,4       ,Lancelot ,"AQUA50242425;AQUA11678815,BLUE42568014,BLUE62214231,GREY40856564,GREY51459548,JADE22580440,LIME81888324,LIME89151177,NAVY14377447,PINK16080936,PINK60740050,PINK63252928,PINK95128526,PLUM03767183,PLUM38008519,ROSE58858671,ROSE72921182,RUBY75131006,RUBY78207412,TEAL00417203",2379
