DrawDate   ,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker                                                                                                                                                                                                                                                                                                                                                                                             ,DrawNumber
30-Nov-2018,3     ,10    ,12    ,23    ,26    ,1           ,12          ,"JLHR83401,TLHR37504"                                                                                                                                                                                                                                                                                                                                                                                            ,1168
27-Nov-2018,4     ,16    ,17    ,18    ,32    ,2           ,11          ,"TKHL01216,TKHN43875"                                                                                                                                                                                                                                                                                                                                                                                            ,1167
23-Nov-2018,5     ,8     ,25    ,26    ,30    ,3           ,10          ,"VJHD70093,XHGR14625"                                                                                                                                                                                                                                                                                                                                                                                            ,1166
20-Nov-2018,6     ,19    ,39    ,45    ,48    ,7           ,12          ,"THGV26758,VHGS04154"                                                                                                                                                                                                                                                                                                                                                                                            ,1165
16-Nov-2018,9     ,10    ,13    ,28    ,41    ,1           ,12          ,"XFGC00904,ZGGJ01297"                                                                                                                                                                                                                                                                                                                                                                                            ,1164
13-Nov-2018,2     ,7     ,10    ,13    ,42    ,3           ,6           ,"TFGG66509,XDFR24341"                                                                                                                                                                                                                                                                                                                                                                                            ,1163
09-Nov-2018,14    ,17    ,32    ,37    ,49    ,11          ,12          ,"MDFW37278,ZDFV82813"                                                                                                                                                                                                                                                                                                                                                                                            ,1162
06-Nov-2018,14    ,24    ,36    ,40    ,43    ,2           ,9           ,"HCFN56475,ZCFM63368"                                                                                                                                                                                                                                                                                                                                                                                            ,1161
02-Nov-2018,5     ,15    ,17    ,37    ,44    ,7           ,11          ,"MBFF83772,VZDQ12070"                                                                                                                                                                                                                                                                                                                                                                                            ,1160
30-Oct-2018,17    ,23    ,27    ,43    ,44    ,1           ,12          ,"VZDW54314,ZZDW27096"                                                                                                                                                                                                                                                                                                                                                                                            ,1159
26-Oct-2018,5     ,18    ,21    ,31    ,35    ,6           ,9           ,"HXDN66244,MXDK39777"                                                                                                                                                                                                                                                                                                                                                                                            ,1158
23-Oct-2018,1     ,2     ,5     ,21    ,32    ,2           ,12          ,"JWCT94655,MWDC86856"                                                                                                                                                                                                                                                                                                                                                                                            ,1157
19-Oct-2018,1     ,3     ,29    ,47    ,48    ,3           ,12          ,"TVCQ40790,VTCF10432"                                                                                                                                                                                                                                                                                                                                                                                            ,1156
16-Oct-2018,15    ,28    ,37    ,40    ,42    ,1           ,6           ,"TTCJ26834,VTCJ34681"                                                                                                                                                                                                                                                                                                                                                                                            ,1155
12-Oct-2018,4     ,9     ,12    ,31    ,43    ,5           ,8           ,"XSCB67628,ZRBL39549"                                                                                                                                                                                                                                                                                                                                                                                            ,1154
09-Oct-2018,3     ,12    ,36    ,44    ,45    ,8           ,11          ,"HRBS92521,MKWL61652"                                                                                                                                                                                                                                                                                                                                                                                            ,1153
